id,url,first_name,last_name,birth_date,citizenship,atp_code
800101685,https://media.itfdataservices.com/player/dc/en/800101685,Justin,Ntaberanwa,,RWA,
800103875,https://media.itfdataservices.com/player/dc/en/800103875,Pagnol,Madzou,19790407,CGO,
800104993,https://media.itfdataservices.com/player/dc/en/800104993,Alvis,Tabors,19680217,LAT,
800105451,https://media.itfdataservices.com/player/dc/en/800105451,Luis Diego,Nunez,19731215,CRC,
800105517,https://media.itfdataservices.com/player/dc/en/800105517,McCollin,Fontenelle,19730909,LCA,
800106587,https://media.itfdataservices.com/player/dc/en/800106587,Sylvain,Nikiema,19710729,BUR,
800106836,https://media.itfdataservices.com/player/dc/en/800106836,Maxime,Koffi,19851108,CIV,k644
800109138,https://media.itfdataservices.com/player/dc/en/800109138,Leroy,Tujeehut,19801025,AHO,t825
800111161,https://media.itfdataservices.com/player/dc/en/800111161,Lyan-Sein,Man,19810224,MYA,
800113053,https://media.itfdataservices.com/player/dc/en/800113053,Gilles,De gouy,19710731,NZL,
800113409,https://media.itfdataservices.com/player/dc/en/800113409,Munkhbaatar,Badrakh,19880416,MGL,
800115866,https://media.itfdataservices.com/player/dc/en/800115866,Bishop,Mosebi,19930307,LES,
800117058,https://media.itfdataservices.com/player/dc/en/800117058,Shibu,Lal,19890102,BAN,lc27
800118098,https://media.itfdataservices.com/player/dc/en/800118098,Vimuktha,De Alwis,19940418,SRI,db90
800118418,https://media.itfdataservices.com/player/dc/en/800118418,Davian,Burrell,19900324,JAM,
800118634,https://media.itfdataservices.com/player/dc/en/800118634,Giacomo,Zonzini,19900920,SMR,z296
800119152,https://media.itfdataservices.com/player/dc/en/800119152,Christos,Hadjigeorgiou,19940401,CYP,hb45
800119166,https://media.itfdataservices.com/player/dc/en/800119166,Mate,Pavic,19930704,CRO,pf00
800119342,https://media.itfdataservices.com/player/dc/en/800119342,Aslan,Karatsev,19930904,RUS,kc56
800120371,https://media.itfdataservices.com/player/dc/en/800120371,Abdulrahman,Al janahi,19941115,UAE,a0gx
800120617,https://media.itfdataservices.com/player/dc/en/800120617,Philippos,Tsangaridis,19920702,CYP,tb00
800120725,https://media.itfdataservices.com/player/dc/en/800120725,Maurizio,Feoli,19930524,CRC,
800120778,https://media.itfdataservices.com/player/dc/en/800120778,Jose Gilbert,Gomez,19910622,PAN,gc32
800140955,https://media.itfdataservices.com/player/dc/en/800140955,Teitur,Marshall,19791018,ISL,
800141548,https://media.itfdataservices.com/player/dc/en/800141548,Walton,Louis,19800825,HAI,
800142421,https://media.itfdataservices.com/player/dc/en/800142421,Alexandros,Jakoubovits,19811214,GRE,
800147059,https://media.itfdataservices.com/player/dc/en/800147059,Pannhara,Mam,19860904,CAM,
800149153,https://media.itfdataservices.com/player/dc/en/800149153,Gerard,Florido,19880309,AND,
800153003,https://media.itfdataservices.com/player/dc/en/800153003,Norbert,Gombos,19900813,SVK,gb93
800153768,https://media.itfdataservices.com/player/dc/en/800153768,Hugo,Nys,19910216,MON,n670
800154384,https://media.itfdataservices.com/player/dc/en/800154384,Torgom,Asatryan,19910703,ARM,
800155300,https://media.itfdataservices.com/player/dc/en/800155300,Gabriel,Flores Ruiz,19920218,PUR,f850
800155683,https://media.itfdataservices.com/player/dc/en/800155683,Damir,Dzumhur,19920520,BIH,d923
800155695,https://media.itfdataservices.com/player/dc/en/800155695,Martin,Hysenbegasi,19920522,ALB,
800155761,https://media.itfdataservices.com/player/dc/en/800155761,Gino,Meeuwsen,19920609,AHO,ml81
800155979,https://media.itfdataservices.com/player/dc/en/800155979,Isak,Arvidsson,19920806,SWE,ab12
800156010,https://media.itfdataservices.com/player/dc/en/800156010,Javier Jovani,Lewis,19920814,TTO,
